"","aic","r2","adjr2"
"833",2482.748,0.5232295,0.1168293
"834",2459.042,0.5325829,0.1504379
"835",2459.803,0.4024007,0.06772423
"836",2430.038,0.5860767,0.2116336
"837",2465.673,0.4230552,0.08313629
"838",2467.805,0.5280765,0.1412208
"839",2436.097,0.5500129,0.1762205
"840",2463.523,0.5318013,0.1387749
"841",2479.744,0.4942475,0.1074425
"842",2480.331,0.6187848,0.1986007
"843",2482.182,0.2881651,0.01064749
"844",2458.217,0.4259643,0.08589448
"845",2464.486,0.3259207,0.03927483
"846",2467.521,0.4731361,0.1054103
"847",2462.665,0.3575067,0.05540287
"848",2460.771,0.4745072,0.1140243
"849",2456.728,0.4995149,0.1279791
"850",2464.926,0.5610789,0.163193
